emiten,tanggal,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,issuanceOfStock,repurchaseOfStock,changeToAccountReceivables
AVIA.JK,2018-12-31,-422020216670.0,0.0,-393098239749.0,-53246493044.0,-600000.0,,1038022397530.0,342972005404.0,4573445.0,736066271708.0,111093358095.0,,-1200000000000.0,-600000.0,-413049483917.0,-398051670021.0,5646644331131.0,,
INDF.JK,2021-12-31,-1270197000000.0,0.0,-6489675000000.0,7979062000000.0,3852424000000.0,,7642197000000.0,12148667000000.0,93277000000.0,14692641000000.0,3870832000000.0,,-2440959000000.0,-1685679000000.0,3179612000000.0,-4784668000000.0,,,
INDF.JK,2020-12-31,-75129000000.0,0.0,-37636597000000.0,30864272000000.0,27285509000000.0,,6455632000000.0,3602949000000.0,98540000000.0,13855497000000.0,3654729000000.0,,-2440959000000.0,-1137804000000.0,3745136000000.0,-4592304000000.0,,,
INDF.JK,2019-12-31,3761112000000.0,0.0,-583826000000.0,-5790849000000.0,-7660235000000.0,,4908172000000.0,4940273000000.0,-160160000000.0,13344494000000.0,3226240000000.0,673529000000.0,-1501453000000.0,-367933000000.0,5210082000000.0,-4650126000000.0,,,
INDF.JK,2018-12-31,-3570593000000.0,0.0,-11223682000000.0,3478642000000.0,48125000000.0,,4166101000000.0,-4903761000000.0,335967000000.0,5935829000000.0,3018888000000.0,449019000000.0,-2651689000000.0,-778828000000.0,-1249160000000.0,-7401591000000.0,,,
BNLI.JK,2021-12-31,-17280665000000.0,0.0,-16134490000000.0,-798030000000.0,34550957000000.0,-6116982000000.0,1231127000000.0,17868599000000.0,-53124000000.0,-494744000000.0,299939000000.0,1303594000000.0,,35207819000000.0,3228772000000.0,-205302000000.0,141174000000.0,-6000000.0,
BNLI.JK,2020-12-31,-6326473000000.0,0.0,8374330000000.0,-17206521000000.0,10799711000000.0,-20778023000000.0,721587000000.0,2789684000000.0,-138358000000.0,-16245999000000.0,310258000000.0,15159870000000.0,,17184742000000.0,2707776000000.0,-74529000000.0,10821490000000.0,-6000000.0,
BNLI.JK,2019-12-31,1484598000000.0,0.0,2485185000000.0,2229219000000.0,7375834000000.0,-11949654000000.0,1500420000000.0,2305721000000.0,-87588000000.0,-7467710000000.0,144613000000.0,1134558000000.0,,5146615000000.0,3186595000000.0,-44524000000.0,10821490000000.0,-6000000.0,
BNLI.JK,2018-12-31,10132385000000.0,0.0,11090333000000.0,-1768930000000.0,4277756000000.0,-14638006000000.0,901251000000.0,4299078000000.0,247091000000.0,-11316102000000.0,181290000000.0,1147480000000.0,,6046686000000.0,2448197000000.0,-114365000000.0,10821490000000.0,-6000000.0,
ANTM.JK,2021-12-31,-1222869000000.0,0.0,-1729827000000.0,-1819322000000.0,-2221595000000.0,,1861743000000.0,1104772000000.0,13529000000.0,5042665000000.0,1051796000000.0,,-402273000000.0,,2129126000000.0,-500848000000.0,,,
ANTM.JK,2020-12-31,-190000000000.0,0.0,-567381000000.0,-1150608000000.0,-1218456000000.0,,1149353000000.0,348145000000.0,-84692000000.0,2218674000000.0,1107755000000.0,123292000000.0,-67848000000.0,,-38434000000.0,-564687000000.0,,,
ANTM.JK,2019-12-31,-50000000000.0,0.0,-885313400000.0,-1057110950000.0,-1363159711000.0,,193851147000.0,-662825005000.0,-48189116000.0,1633837222000.0,1119192032000.0,331724138000.0,-306048761000.0,,320794043000.0,-1235387081000.0,,,
ANTM.JK,2018-12-31,246407000000.0,0.0,-2593809364000.0,-940832524000.0,-619759898000.0,,1636001028000.0,-1251608935000.0,87381896000.0,1874578431000.0,848293492000.0,-950591375000.0,-47777374000.0,368850000000.0,-609716089000.0,-2144117503000.0,,,
TOWR.JK,2021-12-31,,0.0,-18617085000000.0,18474531000000.0,15728237000000.0,,3427375000000.0,3305737000000.0,-1661000000.0,6196246000000.0,1773325000000.0,,-1404567000000.0,-1197206000000.0,909052000000.0,-2192540000000.0,,-144521000000.0,
TOWR.JK,2020-12-31,-218271000000.0,0.0,-4156870000000.0,1617972000000.0,-860035000000.0,,2836000000000.0,848862000000.0,-85435000000.0,5951202000000.0,1558669000000.0,,-1174043000000.0,-1031126000000.0,1471188000000.0,-3929140000000.0,,-272838000000.0,
TOWR.JK,2019-12-31,-218271000000.0,0.0,-5529431000000.0,3746827000000.0,1235802000000.0,,2341955000000.0,-369618000000.0,-31472000000.0,3955483000000.0,691212000000.0,-711957000000.0,-1187069000000.0,-936531000000.0,263916000000.0,-4442048000000.0,,-387425000000.0,
TOWR.JK,2018-12-31,-221910000000.0,0.0,-4291934000000.0,1226460000000.0,-839148000000.0,,2200055000000.0,-1384955000000.0,125206000000.0,3620921000000.0,663411000000.0,-647741000000.0,-1205798000000.0,-733172000000.0,306501000000.0,-2056963000000.0,,-126638000000.0,
