symbol,shortName,longName,sector,fullTimeEmployees,industry,longBusinessSummary,city,address1,address2,website,phone,fax
DMAS.JK,Puradelta Lestari Tbk.,PT Puradelta Lestari Tbk,Real Estate,453.0,Real Estate—Development,"PT Puradelta Lestari Tbk engages in the real estate development business in Indonesia. It operates through Industrial, Residential, Commercial, Hotel, and Rental segments. The company sells commercial lots and commercial products, including shop houses; residential products, such as landed houses; and develops investment properties of rental factories and hotels, as well as provides clean water supply, waste water treatment, and estate management services comprising cleaning, security, repair and maintenance, and other services. It also develops and manages Kota Deltamas, an integrated township of 3,200 hectares consisting of industrial, residential, and commercial estates. The company operates 19 residential clusters, seven rental factory units, and one hotel. The company was incorporated in 1993 and is headquartered in West Jakarta, Indonesia. PT Puradelta Lestari Tbk is a subsidiary of PT Sumber Arusmulia.",Jakarta Barat,Jl. Kali Besar Barat No. 8,Kel. Roa Malaka Kec. Tambora,https://www.deltamas.id,62 21 690 8684,62 21 690 7623
ERAA.JK,Erajaya Swasembada Tbk.,PT Erajaya Swasembada Tbk,Consumer Cyclical,3746.0,Specialty Retail,"PT Erajaya Swasembada Tbk engages in the import, distribution, and retail of mobile telecommunication products in Indonesia. It offers mobile phones and tablets, subscriber identity module cards, mobile network operator vouchers, accessories, Internet of Things devices, and Google Play gift cards; and computers and other electronic devices. The company also provides trades in medical equipment; and provides value added services, including mobile phones protection and handset leasing services. In addition, it engages in information technology system; management consulting; outsourcing; property businesses, as well as offers managing and customer relationship services. The company was founded in 1996 and is headquartered in West Jakarta, Indonesia. PT Erajaya Swasembada Tbk is a subsidiary of PT Eralink International.",Jakarta Barat,Jalan Gedong Panjang No. 29-31,Pekojan Tambora,https://www.erajaya.com,62 21 690 5788,62 21 690 5789
CMNP.JK,Citra Marga Nusaphala Persada T,PT Citra Marga Nusaphala Persada Tbk,Industrials,38.0,Infrastructure Operations,"PT Citra Marga Nusaphala Persada Tbk, together with its subsidiaries, constructs and operates toll roads in Indonesia. It engages in implementing and providing consultancy services in the field of management, investment, information technology and telecommunications, transportation, project development, property management, and real estate; as well as sells product components of highway construction. The company operates the Simpang Susun Waru - Juanda toll road in Surabaya; Depok - Antasari toll road in Jakarta; Soreang - Pasir Koja toll road; Cileunyi - Sumedang - Dawuan Toll Road, and Sumedang Dawuan toll road. It also provides trading, development, procurement, contract, industry, land management, and other services. The company was founded in 1987 and is headquartered in North Jakarta, Indonesia.",Jakarta Utara,Gedung Citra Marga,Jl. Yos Sudarso Kav. 28,https://www.citramarga.com,62 21 6530 6930,62 21 6530 6931
EDGE.JK,Indointernet Tbk.,PT Indointernet Tbk.,Technology,216.0,Information Technology Services,"PT Indointernet Tbk. provides information and communication technology services and solutions in Indonesia. The company offers connectivity, network managed, data center, and cloud services. It also provides computer hardware and software consultation services, and management in other computer facilities; and trading services, as well as operates as a hosting service and Internet service provider. In addition, the company is involved in the resale of international transmission capacity in submarine cables. The company was founded in 1994 and is headquartered in Tangerang Selatan, Indonesia.",Tangerang Selatan,Jl. Rempoa Raya No. 11,Ciputat,https://indonet.co.id,62 21 7388 2525,62 21 7388 2626
INDY.JK,Indika Energy Tbk.,PT. Indika Energy Tbk,Energy,5271.0,Thermal Coal,"PT. Indika Energy Tbk, together with its subsidiaries, operates as an integrated energy company in Indonesia. The company operates through Energy Resources, Energy Services, Energy Infrastructure, and Other Portfolio Holdings segments. It produces coal; and undertakes surface coal mining at a 50,921 hectares concession in Paser Regency, East Kalimantan, Indonesia. The company also provides mining, engineering, procurement, construction, and offshore supply base services in the coal, and oil and gas sectors; operation, maintenance, and logistics services; and owns and operates 660 megawatt coal-fired power plant in Cirebon, West Java. In addition, it offers logistic and support services, including supply chain business process solution, warehousing and inventory management, transportation, port operation, and related services; ship docking integrated operations, management, logistics, maintenance, and portside services. Further, the company is involved in the investment, general trading, marketing, financing, coal and mineral trading, contracting, development, construction, real estate and trading, agriculture, printing, and workshop activities; and provision of renewable energy, EV mobility, nature-based solutions, as well as consultancy services for construction, industry, and infrastructure. Additionally, it provides transportation management, business and management consultancy, gold mining, information and communication, manpower, travelling agency, insurance, vehicle repair maintenance, rental and lease, waste management, and digital technology services, as well as professional, scientific, and technical services. The company was founded in 2000 and is headquartered in Jakarta, Indonesia.",Jakarta,Mitra Building,11th Floor Jl. Jenderal Gatot Subroto Kav. 21,https://www.indikaenergy.co.id,62 21 2557 9888,62 21 2557 9889
BNBA.JK,Bank Bumi Arta Tbk.,P.T. Bank Bumi Arta Tbk,Financial Services,681.0,Banks—Regional,"PT Bank Bumi Arta Tbk provides banking products and services in Indonesia. The company provides savings, call, and term deposits; and business financing solutions, including account, fixed, demand, housing, car ownership, pension, term, multipurpose, export and import financing, and investment loans. In addition, it offers bank guarantee and payment services; ATM, and internet and mobile banking services; and other services, such as bank notes, corporate payroll, financial supply chain, and bank drafts. As of December 31, 2021, the company operated a network of 11 branches, 16 sub-branches, and 15 ATM machines in Indonesia. PT Bank Bumi Arta Tbk was founded in 1967 and is headquartered in Jakarta Pusat, Indonesia.",Jakarta Pusat,Jl. Wahid Hasyim No. 234,,https://www.bankbba.co.id,62 21 230 0893,62 21 230 3623
MCAS.JK,M Cash Integrasi Tbk.,PT M Cash Integrasi Tbk,Industrials,138.0,Business Equipment & Supplies,"PT M Cash Integrasi Tbk operates as a digital distribution company in Indonesia. It provides digital products and payment point online bank services; digital kiosk and locker services; MCAS App, an application-based platform that allows customers to meet their daily digital product needs; DIGIRESTO, a food ordering platform; cloud marketing and advertisement platform; prepaid toll payment application; unified payment system; GOWES, a bike sharing platform; cloud kitchen solution; AWD e-commerce hub; DIGISAHAM, a real time capital market information application based on whatsapp messenger; electric vehicles; audio visual technology; and Pedulilindungi, a whatsapp covid-19 tracking platform. It is also involved in the comics publishing, movie and TV series production, merchandise production and licensing; and operates restaurants. In addition, it provides supply chain, transportation and logistics, internet of things and artificial intelligence, media and entertainment, and financial and investment, as well as digital cloud advertising, digital product aggregator, software as a service, and clean energy products and services. The company also engages in the trading, construction, services, development, industry, printing, land transportation, mining, real estate, workshop, tourism, contracting, garment, electrical, mechanical, professional, scientific and technical, and agriculture activities; trading of telecommunication equipment and machineries; software publishing; household electrothermal equipment industry; retail trade through media for food, beverage, tobacco, chemical, pharmaceutical, cosmetic and laboratory equipment, computer consulting, and facility management activities; and equipment, telecommunication, e-commerce and other computer programming, and information technology activities. PT M Cash Integrasi Tbk was founded in 2010 and is based in South Jakarta, Indonesia.",Jakarta Selatan,Gedung Mangkuluhur City Tower One,"7th Floor, Suite 1 - 3 Jenderal Gatot Subroto Kavling 1 -3",https://www.mcash.id,62 21 8062 3767,
WSKT.JK,Waskita Karya (Persero) Tbk.,PT Waskita Karya (Persero) Tbk,Industrials,2312.0,Engineering & Construction,"PT Waskita Karya (Persero) Tbk, together with its subsidiaries, engages in the engineering, procurement, and construction (EPC) works in Indonesia. It undertakes building projects, airports, regional development projects; civil non-road and bridge infrastructure projects, such as dams, water structures, ports, and others; and road and bridge civil infrastructure projects, including roads, bridges, LRT, railways, and others. The company also engages in the EPC projects comprising power plants, industrial plants, smelters, water transmission and distribution, electricity, oil and gas, and others. In addition, it is involved in the hotel management business; building and equipment rental business; and production of precast concrete. Further, the company builds, operates, and invests in various toll roads; and develops real estate properties, as well as operates power plants. PT Waskita Karya (Persero) Tbk was founded in 1961 and is headquartered in Jakarta, Indonesia.",Jakarta,Gedung Waskita Heritage,Jl. MT Haryono Kav. No.10 Cawang,https://www.waskita.co.id,62 21 850 8510,62 21 850 8506
DMND.JK,Diamond Food Indonesia Tbk.,PT Diamond Food Indonesia Tbk,Consumer Defensive,6844.0,Packaged Foods,"PT Diamond Food Indonesia Tbk manufactures and distributes consumer goods in Indonesia. Its products include milk and cheese products, juices, chocolates, yogurts, ice creams, dressings, bakery, and other products. The company is also involved in the production and processing of dairy-based products and frozen food products, as well as meats and seasonings; trading and distribution of food and beverage products, and non-food equipment and supplies; and retail of food and beverage products. PT Diamond Food Indonesia Tbk was founded in 1995 and is headquartered in Central Jakarta, Indonesia.",Jakarta Pusat,Gedung TCC Batavia Tower One,15th Floor Unit 03 & 05 Jl. KH Mas Mansyur Kav. 126,https://www.diamond.co.id,62 21 2864 9888,
BMAS.JK,Bank Maspion Indonesia Tbk.,PT Bank Maspion Indonesia Tbk,Financial Services,777.0,Banks—Regional,"PT Bank Maspion Indonesia Tbk provides various banking products and services. It offers savings and current accounts; deposit products; working capital, investment, consumer, and general personal loans; remittance services; and trade finance services, such as letters of credit and bank guarantee services. The company also provides automatic teller machines (ATM), Internet and mobile banking, payroll, safe deposit box, and transfer services. As of December 31, 2021, it had 12 branches, 25 sub-branches, 7 cash offices, 2 small and medium enterprise functional offices, 7 mobile cash, 70 ATMs, and 4 cash recycling machines located at Surabaya, Jakarta, Tangerang, Semarang, Denpasar, Medan, Bandung, Makassar, Malang, Solo, Purwokerto, and Palembang. The company was founded in 1989 and is headquartered in Surabaya, Indonesia. PT Bank Maspion Indonesia Tbk operates as a subsidiary of PT Alim Investindo.",Surabaya,Jalan Basuki Rahmat No. 50-54,,https://www.bankmaspion.co.id,62 31 535 6123,62 31 535 6122
TFAS.JK,Telefast Indonesia Tbk.,PT Telefast Indonesia Tbk,Industrials,27.0,Staffing & Employment Services,"PT Telefast Indonesia Tbk, together with its subsidiaries, develops human resources and supply chain management solutions in Indonesia. The company provides HR-KU, a human resources information system application, which facilitates various human resources activities and offers human resource management systems for developing companies; and work booths. Its HR-KU provide various modules, such as attendance, leaves, reimbursement, TAS, employee database and information, internal bulletin, and digital store modules. The company also offers manpower supply solutions; telecommunication products; payment point online bank services; and Fastpoint, an express business with a container concept that provides SiCepat Ekspres drop point network services; and other products and services. In addition, it engages in the trading, land transportation, tourism, and logistics businesses; provision of information technology and other computer services; and vehicle rental activities. PT Telefast Indonesia Tbk was founded in 2008 and is based in Jakarta Selatan, Indonesia.",Jakarta Selatan,Gedung Mal Ambasador Lt. 5 No. 5,Jalan Prof. Dr. Satrio No. 65 Kelurahan Karet Kuningan Kecamatan Setiabudi,https://telefast.co.id,62 21 579 3356,62 21 576 6691
POLL.JK,Pollux Properties Indonesia Tbk,PT Pollux Properties Indonesia Tbk,Real Estate,312.0,Real Estate—Development,"PT Pollux Properties Indonesia Tbk operates as a property developer in Indonesia. It operates through Office, Rent Office Room, Apartment, Hotel, Mall, and Others segments. The company develops apartments, condominiums, offices, shopping centers, hospitals, hotels, convention centers, housing, and industrial estates. It also purchases, sells, leases, and operates real estate properties, as well as offers real estate services, such as agents, real estate brokers, and purchasing intermediaries. In addition, the company provides specialist clinic, general polyclinic, medical center, and stem cell laboratory services. Further, it engages in the construction, mining, and transportation businesses. The company was founded in 2014 and is headquartered in South Jakarta, Indonesia. PT Pollux Properties Indonesia Tbk is a subsidiary of PT Borneo Melawai Perkasa.",Jakarta Selatan,Noble House,"36th Floor #01, Jalan Dr. Ide Anak Agung Gde Agung Kav. E.4.2 No. 2, Mega Kuningan",https://pollux.co.id,62 21 2918 3111,
IBST.JK,Inti Bangun Sejahtera Tbk.,"PT. Inti Bangun Sejahtera, Tbk.",Communication Services,420.0,Telecom Services,"PT Inti Bangun Sejahtera Tbk provides telecommunication network services in Indonesia. It rents and maintains telecommunication towers. The company's products include Build to Suit (B2S), a leasing space inside telecommunications infrastructure in the form of constructing towers; co-location, a leasing space for base transceiver station; telecommunication infrastructure in the form of BTS Hotel; and microcell pole with fiber optic network. Its products also comprise Metro-E, a data network solution, which can be used to serve the bandwidth requirements of telecom operators; Cluster Based, an integrated indoor and outdoor coverage solution for wireless mobile service in clustered area with indoor and outdoor distributed antenna systems; and bandwidth capacity to connect data services in one location. In addition, the company offers Internet service solutions; and fiber to home or building infrastructure services. PT Inti Bangun Sejahtera Tbk was founded in 2006 and is headquartered in Jakarta Pusat, Indonesia.",Jakarta Pusat,Jalan Riau No. 23,Menteng,https://www.ibstower.com,62 21 3193 5919,62 21 390 3473
PRDA.JK,Prodia Widyahusada Tbk.,PT Prodia Widyahusada Tbk,Healthcare,2915.0,Diagnostics & Research,"PT Prodia Widyahusada Tbk provides private clinical laboratory services. The company offers laboratory, panel test, and other diagnostics support services. As of December 31, 2021, it operated 259 outlets comprising 10 Prodia Health Care and specialty clinic outlets, 142 clinical lab and medical labs, 98 point of care outlets, and 9 hospital collaboration labs in 34 provinces throughout Indonesia. The company was founded in 1973 and is headquartered in Jakarta Pusat, Indonesia. PT Prodia Widyahusada Tbk is a subsidiary of PT Prodia Utama.",Jakarta Pusat,Prodia Tower,Jl. Kramat Raya No. 150,https://www.prodia.co.id,62 21 314 4182,62 21 314 4181
BBMD.JK,Bank Mestika Dharma Tbk.,PT Bank Mestika Dharma Tbk,Financial Services,1066.0,Banks—Regional,"PT Bank Mestika Dharma Tbk provides banking products and services in Indonesia. It offers saving accounts, current accounts, and time deposits; and multi-purpose, house, car, and land loans, as well as trade finance, working capital loans, and investment credit services. The company also provides mobile, Internet, and SMS banking; ATM card; safe deposit box; export and import; money changer; telegraphic transfer; money transfer; import tax payment; tax payment facility; e-channel facility; and virtual account services, as well as bancassurance products and services. It operates through 12 branch offices, 41 sub-branch offices, 11 cash offices, and 70 automatic teller machines. The company was incorporated in 1955 and is headquartered in Medan, Indonesia. PT Bank Mestika Dharma Tbk is a subsidiary of PT Mestika Benua Mas.",Medan,Mestika Building,Jl. H. Zainul Arifin No. 118,https://www.bankmestika.co.id,62 61 452 5800,62 61 452 7324
SMSM.JK,Selamat Sempurna Tbk.,PT Selamat Sempurna Tbk,Consumer Cyclical,3232.0,Auto Parts,"PT Selamat Sempurna Tbk manufactures and sells tools or equipment for vehicles, heavy equipment, and other machinery. It operates through five segments: Filter, Radiator, Body Maker, Trading, and Others. The company offers radiators under the ADR brand; dump hoists and body makers of dump trucks, trailers, mixers, and tanks; rubber, plastisol, brake and fuel pipes, fuel tanks, and mufflers; and air and liquid filters, such as oil, hydraulic, and fuel filters for automotive, commercial, heavy equipment, marine, and industrial applications under the SAKURA brand name. It also manufactures rubber O-rings, polyurethanes, and plastisol adhesives for automotive industries. It exports its products to approximately 120 countries worldwide. The company was founded in 1976 and is headquartered in Jakarta Utara, Indonesia. PT Selamat Sempurna Tbk is a subsidiary of PT Adrindo Intiperkasa.",Jakarta,Wisma ADR,Jalan Pluit Raya I No. 1,https://smsm.co.id,62 21 661 0033,62 21 669 6237
LSIP.JK,PP London Sumatra Indonesia Tbk,PT Perusahaan Perkebunan London Sumatra Indonesia Tbk,Consumer Defensive,14527.0,Farm Products,"PT Perusahaan Perkebunan London Sumatra Indonesia Tbk, together with its subsidiaries, engages in the plantation business in Indonesia. The company operates through Oil Palm Products, Rubber, Seeds, and Other Product segments. It offers crude palm oil, rubber, cocoa, tea, and oil palm seeds. The company also develops plantations on behalf of local smallholders. As of December 31, 2021, it had a total planted area of 114,111 hectares comprising 93,853 hectares of palm oil; 16,228 hectares of rubber; and 4,030 hectares of cocoa, tea, and other crops in North Sumatra, South Sumatra, East Kalimantan, North Sulawesi, South Sulawesi, and Java. The company is also involved in the research, processing, trading, marketing, industrial, and agency/representative activities; and invests in agricultural technology and cultivation, as well as agriculture, forestry, and fishery businesses. It exports its products. The company was founded in 1906 and is headquartered in Jakarta Selatan, Indonesia. PT Perusahaan Perkebunan London Sumatra Indonesia Tbk is a subsidiary of PT Salim Ivomas Pratama Tbk.",Jakarta Selatan,Ariobimo Sentral Building,"12th Floor Jl. HR. Rasuna Said Blok X-2 Kav. 5, Kuningan Timur",https://www.londonsumatra.com,62 21 8065 7388,62 21 8065 7399
ROTI.JK,Nippon Indosari Corpindo Tbk.,PT Nippon Indosari Corpindo Tbk,Consumer Defensive,5441.0,Packaged Foods,"PT Nippon Indosari Corpindo Tbk manufactures, sells, and distributes breads in Indonesia and the Philippines. The company offers white bread, sweet/filled breads, and cakes under the Sari Roti brand. It sells its products to distributors and agents, as well as online. The company was formerly known as PT Nippon Indosari Corporation and changed its name to PT Nippon Indosari Corpindo Tbk in 2003. PT Nippon Indosari Corpindo Tbk was incorporated in 1995 and is headquartered in Bekasi, Indonesia.",Bekasi,Kawasan Industri MM2100,Jl. Selayar Blok A9 Desa Mekarwangi Cikarang Barat,https://www.sariroti.com,62 21 8998 3876,62 21 8984 4955
TECH.JK,Indosterling Technomedia Tbk.,PT Indosterling Technomedia TBK,Technology,73.0,Information Technology Services,"PT Indosterling Technomedia TBK engages in information technology (IT) and digital sectors that serves business-to-business markets in Indonesia. The company offers integrated campus management solution that provides services for various administrative and academic needs in the campus; property management system to help property managers' work; Hyperlocal Directory, a platform that provides online resources as a community service to build a local business economy; and digital publishing products, such as magazines, e-books, white papers, and reports. It also provides point of sale products; ERP platform for financial sector industry; and Financial Marketing platform that offers application product for customers to scale their financial business through a various practical financial marketing program. The company was founded in 2011 and is headquartered in Jakarta Utara, Indonesia.",Jakarta Utara,Jl. Jembatan Tiga 38 Blok B Nomor 11,RT 002/RW 011 Kelurahan Pejagalan Kecamatan Penjaringan,https://indosterlingtechnomedia.com,62 21 663 8888,
KRAS.JK,Krakatau Steel (Persero) Tbk.,PT Krakatau Steel (Persero) Tbk,Basic Materials,4938.0,Steel,"PT Krakatau Steel (Persero) Tbk, together with its subsidiaries, engages in the production and trading of iron and steel products in Indonesia and internationally. It operates through Steel Products, Infrastructure Facilities, Engineering and Construction, and Other Services segments. The Steel Products segment is primarily involved in production and sale of steel products, such as sponge iron, slabs, billets, hot rolled coils, cold rolled coils, and wire rods; and steel pipes, reinforcing bars, and steel wires, as well as services related to steel, including coating and tolling services. The Infrastructure Facilities segment provides port services for berthing, loading and unloading goods and containers, sea port support services, and warehousing and transport services. This segment also offers sale and development of industrial estates, including infrastructures, hotels, and sport facilities; electricity supply services, as well as management and maintenance of power plants and electrical workshops; and clean water supply, industrial demineralised water supply, and waste management services for industry and companies. The Engineering and Construction segment is involved in the construction, industrial engineering, planning, and contracting of various types of buildings; export and import of goods; and provision of services and software related to the aforementioned activities. The Other Services segment provides information technology services. It also engages in the production of deformed and plain bars; steel trading activities; coal and mining business; and generation and distribution of electricity. In addition, the company offers consulting services; machineries maintenance, fabrication, and construction services; transportation services; freight and warehousing services; vehicle and equipment rental services; and medical services. PT Krakatau Steel (Persero) Tbk was founded in 1970 and is headquartered in Cilegon, Indonesia.",Cilegon,Jalan Industri No. 5,PO Box 14,https://www.krakatausteel.com,62 25 439 2159,62 25 439 2178
MPRO.JK,Maha Properti Indonesia Tbk.,PT Maha Properti Indonesia Tbk,Real Estate,16.0,Real Estate—Development,"PT Maha Properti Indonesia Tbk engages in the real estate development business in Indonesia. It develops apartments, office buildings, townhouses, and shops. The company was formerly known as PT Propertindo Mulia Investama Tbk. PT Maha Properti Indonesia Tbk was founded in 2004 and is headquartered in Jakarta Selatan, Indonesia.",Jakarta Selatan,Mayapada Tower 2 Building,14th Floor Jl. Jenderal Sudirman Kav 27,https://thekahyangansolo.com,62 21 250 0608,62 21 250 0679
FILM.JK,MD Pictures Tbk.,PT MD Pictures Tbk,Communication Services,51.0,Entertainment,"PT MD Pictures Tbk produces and distributes films and videos in Indonesia. It is also involved in the studio rental and shooting equipment rental activities. The company was founded in 2002 and is headquartered in Jakarta, Indonesia.",Jakarta,"MD Place, Tower 1",7th - 10th Floor Jl. Setiabudi Selatan No. 7,https://www.mdpictures.com,62 21 298 55777,
HERO.JK,Hero Supermarket Tbk.,PT Hero Supermarket Tbk,Consumer Cyclical,4469.0,Department Stores,"PT Hero Supermarket Tbk engages in the retail business primarily in Indonesia. The company operates through Food and Non-Food segments. It operates supermarket, hypermarket, and specialty stores, including pharmacy, drugs stores, health and beauty stores, personal care and baby care, and home furnishing stores under the Hero Supermarket, Guardian, and IKEA brands. As December 31, 2021, the company operated 23 Hero Supermarket chains; 295 Guardian Healthy Beauty stores; and 5 IKEA stores in Indonesia. The company was incorporated in 1971 and is based in South Tangerang, Indonesia. PT Hero Supermarket Tbk is a subsidiary of Mulgrave Corporation B.V.",South Tangerang,"Graha HERO, 4th Floor",CBD Bintaro Sector 7 Block B7/A7 Pondok Jaya Pondok Aren,https://www.hero.co.id,62 21 8378 8388,62 21 2986 4950
ESSA.JK,Surya Esa Perkasa Tbk.,PT Surya Esa Perkasa Tbk,Energy,379.0,Oil & Gas Refining & Marketing,"PT Surya Esa Perkasa Tbk engages in purification and processing of natural gas in Indonesia. The company operates through Liquified Petroleum Gas (LPG) Refinery, Ammonia, and Others segments. It offers LPG primarily for use as a kitchen appliance fuel for homes, shopping centers, and hotels; and motor vehicle fuel, as well as for construction industries, such as welding fuel in steel workshop. The company also provides condensate for use as a raw material for thinner, glue, and vehicle tires applications, as well as light naphtha, which is a cracker material for the manufacture of polyethylene; and ammonia that is used as a raw material for fertilizer production, pharmaceutical, food and beverage, textile, industrial and household cleaning, water and wastewater treatment, metallurgical processes, pulp and paper, leather, rubber, and other applications. In addition, it offers management and business consulting services; operates an ammonia plant; and sells raw feed gas through pipelines. PT Surya Esa Perkasa Tbk was founded in 2006 and is headquartered in Jakarta, Indonesia.",Jakarta,DBS Bank Tower,18th Floor Ciputra World 1 Jakarta Jl. Prof. Dr. Satrio Kav. 3-5,https://essa.id,62 21 2988 5600,62 21 2988 5601
ADMF.JK,Adira Dinamika Multi Finance Tb,PT Adira Dinamika Multi Finance Tbk,Financial Services,14006.0,Credit Services,"PT Adira Dinamika Multi Finance Tbk provides consumer financing, murabahah financing, and finance leasing services in Indonesia. The company offers financing services for new and used motorcycles and cars. It also provides financing for electronics, furniture, gadgets, and sharia financing. The company was founded in 1990 and is headquartered in Jakarta Selatan, Indonesia. PT Adira Dinamika Multi Finance Tbk is a subsidiary of PT Bank Danamon Indonesia Tbk.",Jakarta Selatan,Millennium Centennial Center Building,"Lt. 53-61, Jl. Gen. Sudirman Kav. 25 Setiabudi Rubber South",https://adira.co.id,62 21 3973 3232,
MAYA.JK,Bank Mayapada Internasional Tbk,PT Bank Mayapada Internasional Tbk,Financial Services,2848.0,Banks—Regional,"PT Bank Mayapada Internasional Tbk provides commercial banking products and services in Indonesia. It offers savings and current accounts, and time deposits, as well as certificates of deposit. The company also provides overdraft, fixed, import and export, syndicated, investment, housing, vehicle, personal, acceptance, channeling, and small business loans; investment and bancassurance products; and safe box, payroll, and payment services. In addition, it offers e-banking services; and clearing, lalu lintas giral, real time gross settlement, and foreign exchange transaction services. As of December 31, 2021, the company had a network of 39 branches, 91 sub-branches, 83 functional offices, and 3 cash offices, as well as 145 automatic teller machines and 4 cash recycle machines. PT Bank Mayapada Internasional Tbk was founded in 1989 and is headquartered in Jakarta, Indonesia.",Jakarta,Mayapada Tower,Ground Floor - 3rd Floor Jl. Jendral Sudirman Kav. 28,https://www.bankmayapada.com,62 21 521 2288,62 21 521 1985
EPMT.JK,Enseval Putera Megatrading Tbk.,PT Enseval Putera Megatrading Tbk.,Healthcare,5125.0,Medical Distribution,"PT Enseval Putera Megatrading Tbk., together with its subsidiaries, engages in the distribution and supply of pharmaceutical products in Indonesia. The company operates through three segments: Pharmaceutical, Consumer Products, and Others. It also trades in medical and laboratory equipment and supplies; operates health care clinics; and offers dental and other equipment, as well as calibration services. In addition, the company engages in the trading of raw materials for pharmaceutical products; consumable products for hemodialysis therapy; and food and beverages. Further, it offers warehousing services, including chiller, cool, and ambient rooms, as well as container chiller. The company was formerly known as PT Arya Gupta Cempaka and changed its name to PT Enseval Putera Megatrading Tbk. in August 1993. The company was incorporated in 1973 and is headquartered in East Jakarta, Indonesia. PT Enseval Putera Megatrading Tbk. is a subsidiary of PT Kalbe Farma Tbk.",Jakarta Timur,Jalan Pulo Lentut No. 10,Kawasan Industri Pulo Gadung,https://www.enseval.com,62 21 4682 2422,62 21 460 9049
INPP.JK,Indonesian Paradise Property Tb,PT Indonesian Paradise Property Tbk,Real Estate,481.0,Real Estate Services,"PT Indonesian Paradise Property Tbk develops, owns, and operates hotels and resorts in Indonesia. The company also engages in the real estate, general trading, and development businesses, as well as in the ownership of shopping centers, office buildings, and apartments. The company was formerly known as PT Penta Karsa Lubrindo and changed its name to PT Indonesian Paradise Property Tbk in 2004. PT Indonesian Paradise Property Tbk was founded in 1996 and is headquartered in Jakarta, Indonesia.",Jakarta,Centennial Tower,30th Floor Jalan Gatot Subroto Kav. 24-25,https://www.theparadise-group.com,62 21 2988 0466,62 21 2988 0460
TURI.JK,Tunas Ridean Tbk.,PT Tunas Ridean Tbk,Consumer Cyclical,2977.0,Auto & Truck Dealerships,"PT Tunas Ridean Tbk engages in the dealership, distribution, and trading of automobiles in Indonesia. The company operates in three segments: Automotive, Rental Services, and Financial Services. It sells new and used cars, as well as motorcycles. The company also provides short-term and long-term car rental, transportation and driver management, routine maintenance, post-accident maintenance, emergency, manpower, driver, and cleaning services; and engages in the auction, and forwarding and logistic business. PT Tunas Ridean Tbk was founded in 1967 and is headquartered in Jakarta, Indonesia.",Jakarta,Jl. Raya Pasar Minggu No.7,,https://www.tunasgroup.com,62 21 794 4788,62 21 150 0798
KPIG.JK,MNC Land Tbk.,PT MNC Land Tbk,Real Estate,454.0,Real Estate Services,"PT MNC Land Tbk, together with its subsidiaries, rents office spaces, and provides securities and other property services in Indonesia. The company also involved in the property development, supervision, maintenance, and utilization and property management; space and food court leasing; contract work; trading; land transportation; land and property leasing services; manpower recruitment and placement service; security services and training consultancy service; exhibition facility services; development and management of integrated tourism park; and built and managed recreation and tourism activities. In addition, it engages in sports and fitness facility management services; sports equipment rental and repair services; golf course/equipment rental and training services; golf consultancy services; theme park development and management; and investment activities. Further, the company owns and manages integrated property areas including office buildings, upscale apartments, hotels and resorts, golf courses, and villas. PT MNC Land Tbk was formerly known as PT Global Land Development Tbk and changed its name to PT MNC Land Tbk in 2012. The company was founded in 1990 and is based in Jakarta, Indonesia.",Jakarta,MNC Tower,17th Floor MNC Center Jalan Kebon Sirih Kav. 17-19,https://www.mncland.com,62 21 392 9828,62 21 392 1227
CENT.JK,Centratama Telekomunikasi Indon,PT Centratama Telekomunikasi Indonesia Tbk,Communication Services,267.0,Telecom Services,"PT Centratama Telekomunikasi Indonesia Tbk, through its subsidiaries, leases and manages telecommunication towers and in-building DAS (distributed antenna system) sites for cellular networks in Indonesia. The company also provides fiberized broadband internet services for the corporate and residential customers, as well as engages in the installation of telecommunication tools. In addition, it offers information technology services and management consulting services, as well as consultation on installation of services in telecommunication field. The company was formerly known as PT Centrin Online Tbk and changed its name to PT Centratama Telekomunikasi Indonesia Tbk in 2013. PT Centratama Telekomunikasi Indonesia Tbk was founded in 1987 and is headquartered in Jakarta Pusat, Indonesia.",Jakarta Pusat,TCC Batavia Tower One,16th & 19th Floor Jl. KH. Mas Mansyur Kav. 126,https://www.centratamagroup.com,62 21 2952 9404,62 21 2967 8232
